simDay,A,D,E,I1,I2,R1,R2,S
110,0.04199639256682037,0.0006810928330768487,0.002207823342984779,0.002628155218475519,0.00345593563804019,0.04051401261996147,0.06049694629423337,0.8480196414864071
111,0.04224320334946304,0.0007021324137904369,0.0021805408754429203,0.0026087745922115627,0.00346719783020152,0.04131155644238383,0.06255851669011842,0.8449280778063882
112,0.042450533281200874,0.0007232071713358241,0.0021426393563200178,0.002586781932215471,0.003473868490600203,0.042086934220725146,0.06464658357128479,0.8418894519763171
113,0.042610530482885906,0.0007443072470282283,0.002106100472801104,0.0025609814156594248,0.0034760183308223695,0.042838964836591456,0.06675932435671697,0.8389037728574941
114,0.042725911663213365,0.0007653961301194087,0.002067706698192125,0.002532011873512833,0.0034736101368516687,0.04356616081116525,0.06889480829147913,0.8359743943954661
115,0.04279866303229268,0.0007864418830392217,0.0020257107207289804,0.0025003342366803232,0.0034666762512390956,0.04426724182404729,0.07105106300488528,0.8331038690470864
116,0.04282559393156724,0.0008074302096890699,0.001986907050561424,0.0024654941966777174,0.003455340789729862,0.04494124803170578,0.07322606298511034,0.8302919228049582
117,0.04281341903694373,0.0008283110532233881,0.0019419076685323734,0.0024286975800545826,0.0034396595134385945,0.0455870158436432,0.07541777394221365,0.8275432153619499
118,0.042757418282815825,0.0008490830622508961,0.0018993241785538132,0.002389116712228064,0.0034198221320333533,0.0462040861588224,0.07762427696753307,0.8248568725057623
119,0.04266218882880568,0.00086970416496602,0.0018531642453861413,0.002347551475444721,0.0033959376569725384,0.04679162632288609,0.07984354200447269,0.8222362853010657
120,0.042526815071015446,0.0008901566085775604,0.0018065261368993345,0.0023038535839855325,0.0033681525801786336,0.04734911925587044,0.08207355982345088,0.8196818169400216
121,0.04235151686758073,0.0009104209892003822,0.0017618519057505551,0.0022580913808646344,0.0033366081147605327,0.047876028086626804,0.08431223059208887,0.8171932520631273
122,0.04214156850579392,0.0009304580198507015,0.0017129604530286408,0.0022111387914686177,0.003301440523554632,0.04837183996235996,0.08655752271751939,0.8147730710264242
123,0.041893905946051246,0.0009502689735430684,0.0016679818720554205,0.0021624400943567232,0.0032628736267270382,0.048836464407335585,0.08880737660515158,0.8124186884747793
124,0.04161428812332416,0.0009698143224838602,0.001619044807241769,0.002112854601844891,0.003221101269328099,0.04926977950213428,0.09105994034190792,0.8101331770317353
125,0.04130058693863503,0.0009890886106567293,0.0015718544091086009,0.0020619636750673024,0.0031763275168974646,0.049671840922568995,0.093313275134783,0.8079150627922826
126,0.04095551019936309,0.0010080699760563257,0.0015252976105764604,0.0020101723882421205,0.00312872852476704,0.05004259469229058,0.095565413102,0.8057642135067041
127,0.040582562832544675,0.0010267346320710674,0.0014769120950874244,0.001957986231755941,0.0030785034033161975,0.05038211148354085,0.09781444164838364,0.8036807476732999
128,0.04017981630652763,0.0010450842112508837,0.0014325011305665893,0.001904969180479974,0.003025892491801722,0.050690772731235886,0.10005852799055698,0.8016624359575799
129,0.039753516746373715,0.0010630852328011404,0.0013852936271480495,0.0018520558422128255,0.0029710936153346332,0.05096877199814297,0.10229587020643707,0.7997103127315496
130,0.0393017590500681,0.001080743526184076,0.0013403735623521741,0.0017987652794681738,0.002914359022736136,0.051216779852516596,0.1045248552836462,0.7978223644230281
131,0.03882764885749329,0.001098038194813376,0.0012952426239011031,0.0017454903625202026,0.0028558846092485973,0.05143522217138767,0.10674385530610488,0.7959986178745301
132,0.038332757282615836,0.0011149613288983459,0.0012505372225416489,0.0016923736678255555,0.002795866899123141,0.051624596194017776,0.10895123079288885,0.7942376766120888
133,0.03781765955822276,0.001131512297015617,0.001208358434141512,0.001639370392108461,0.002734517285556196,0.051785536879849804,0.11114541836699439,0.7925376267861112
134,0.03728634996489496,0.0011476694386926736,0.0011650166974434952,0.0015869968785667894,0.0026720354585111675,0.05191862154409834,0.11332494374049422,0.7908983662772983
135,0.036737971774298,0.0011634447336095882,0.001124204325198612,0.0015349405978266803,0.002608627191381699,0.05202475110249416,0.11548850312524982,0.7893175571499412
136,0.0361758971645634,0.0011788206909582686,0.0010829843095214143,0.001483603670500009,0.00254448558893401,0.05210461627266163,0.11763477700444572,0.7877948152984152
137,0.03560050514760248,0.0011938011735149114,0.0010431648325747872,0.0014328914159251137,0.0024797910858668404,0.05215904794469367,0.11976253136486087,0.786328267034961
138,0.03501330764774812,0.0012083848058589445,0.0010050177360409892,0.001382901307616483,0.00241471528324346,0.05218883319781788,0.12187054909633913,0.784916290925335
139,0.034417124231735666,0.0012225619440392815,0.0009665382828548623,0.001333939456086646,0.00234942763594265,0.05219476993572038,0.12395770251113893,0.7835579360024814
140,0.03381139191302629,0.0012363461562303456,0.0009309010684614999,0.0012857444903101969,0.0022840959627549715,0.05217780161968085,0.12602294293184105,0.7822507758576941
141,0.033199385849753855,0.0012497255325790689,0.0008947645833951254,0.0012386915792672506,0.0022188707090317005,0.052138821232550946,0.12806539020216412,0.7809943503112581
142,0.03258097108784241,0.0012627116190901066,0.000860365842805415,0.0011925933743503385,0.0021538990187360044,0.05207877663078613,0.1300841479606845,0.7797865344657049
143,0.03195780715037327,0.001275303278983687,0.0008269428098881768,0.0011475658697838998,0.0020893114897654265,0.05199856491229412,0.1320784162590016,0.7786260882299098
144,0.031331452881508515,0.001287501475037892,0.0007940686253200206,0.0011037129890510253,0.0020252294194574253,0.05189905612274507,0.13404741012084848,0.7775115683660315
145,0.030702024665175496,0.0012993186029861322,0.0007633303059644016,0.0010608981015212445,0.0019617660461116676,0.05178119479021236,0.13599044358752835,0.7764410239005002
146,0.030072053426766186,0.001310748355902899,0.0007325448353656624,0.0010193864824985237,0.0018990314791659884,0.05164584083341896,0.13790687496024334,0.775413519626638
147,0.029441280525770705,0.0013218067130919423,0.0007034335481185231,0.00097898199001235,0.0018371235193185504,0.051493986991690055,0.13979620955288335,0.7744271771591142
148,0.028811227138176257,0.001332493084470275,0.0006750143935672566,0.0009397918930371685,0.0017761303495003938,0.05132649506407717,0.14165795996888642,0.7734808881082846
149,0.028182708638337838,0.0013428154342752284,0.0006475399620991528,0.0009018115712896675,0.001716128477565233,0.0511442292038613,0.14349166132103677,0.7725731053915349
