simDay,A,D,E,I1,I2,R1,R2,S
80,0.020739074544415797,0.00018252959450635776,0.0017501090863066102,0.0016723102196449012,0.0016905868017227598,0.01489279109996172,0.01623926212636101,0.9428333365270806
81,0.021558201636732555,0.00019323084383190525,0.001801027676024262,0.0017316561836017458,0.0017625643791662918,0.01557718091875754,0.017128109192723295,0.940248029169163
82,0.0223902348896666,0.00020435789353230068,0.0018513519644263075,0.00179091933669994,0.001835563789586595,0.016282365618667263,0.0180535598171882,0.9375916466902322
83,0.023234133434035454,0.00021591712636677955,0.0019002188501097968,0.0018500067662995529,0.0019094520105061707,0.017008048261448125,0.019016471771079107,0.9348657517801555
84,0.024087535187079297,0.00022791451937674464,0.0019477487162560707,0.0019085991838848654,0.0019840887098692686,0.017753857331211556,0.02001767796985873,0.9320725783824626
85,0.02494858818450097,0.00024035432098013434,0.0019942380168906327,0.00196654892201765,0.0020592806557467353,0.018519265380474045,0.02105794678530452,0.9292137777340851
86,0.025815322830885397,0.0002532383125051803,0.0020400518078909353,0.0020237205128682038,0.0021348163911128868,0.019303617269294866,0.022137977864783887,0.9262912550106582
87,0.02668699002688865,0.00026657153046388273,0.00208247185139626,0.0020800363660893524,0.002210556136208779,0.020106281640991725,0.023258490028947826,0.9233086024190129
88,0.027560200887334574,0.00028035537135278943,0.00212202255682597,0.002135046984589618,0.0022863259684875997,0.020926511406214956,0.024420124881198525,0.9202694119439957
89,0.02843142493505588,0.0002945880802191629,0.0021608480002893505,0.0021884266711804587,0.0023618694440484694,0.021763326843460773,0.025623402967619575,0.9171761130581261
90,0.02929941944871151,0.00030927087418396,0.0021958727234996445,0.0022400663132014164,0.0024369592127057374,0.022615722232068473,0.026868860621434353,0.9140338285741946
91,0.030160576884930335,0.0003244007222815465,0.002228133646986362,0.0022895904197712596,0.0025113318229199205,0.023482519192337178,0.028156904523762478,0.9108465427870108
92,0.031011730272764427,0.00033997201784952174,0.002258677050345843,0.0023367541715221497,0.002584696549808244,0.024362352900553476,0.029487809938973944,0.9076180070981822
93,0.031852409645208954,0.00035597810050129854,0.002285819928854847,0.002381771153670879,0.0026567595923706784,0.025253762945653072,0.030861758478599538,0.9043517401551404
94,0.03267956632677529,0.0003724126787799667,0.002308517166664409,0.0024242452300549697,0.00272735720900109,0.026155423595493808,0.032278925563240635,0.9010535522299893
95,0.033489584845751395,0.0003892668876374835,0.002327400638564622,0.002463806583649767,0.0027962236526387664,0.027065803576073737,0.033739358022758736,0.8977285557929249
96,0.03427767814812588,0.00040652763788307373,0.0023463606895645886,0.0025000094087499667,0.0028630684173286216,0.027983154408825508,0.035242880785234805,0.8943803205042875
97,0.03504608340697924,0.0004241842204309898,0.002357442327202085,0.00253339489241323,0.0029276081107793978,0.028905759481220834,0.03678939152038445,0.8910161360405894
98,0.0357879856295117,0.000442223430013831,0.0023662627924348227,0.0025630917152669476,0.0029896225294985365,0.029831885179854023,0.038378567137143285,0.8876403615862766
99,0.036501211917327914,0.0004606285087886033,0.002373429736096917,0.002589089057276281,0.003048811884050508,0.030759561403280993,0.040009930226253945,0.8842573372669246
100,0.037186739248475015,0.0004793748376838211,0.002374432720872817,0.002611897073262762,0.0031048671272895494,0.03168669641111999,0.04168286696886177,0.8808731256124338
101,0.037838807683318286,0.0004984550281157005,0.0023744649002895584,0.0026306925761633115,0.003157671934364028,0.03261163354551116,0.04339677978871478,0.8774914945435232
102,0.03845884250433326,0.000517838412867543,0.0023673580241116267,0.0026459881290222874,0.00320698987190921,0.03353230551738475,0.04515087771737681,0.8741197998229939
103,0.039042332031320334,0.0005375077247046682,0.002357128367166321,0.0026572916639281768,0.0032526296289597384,0.03444681539131904,0.04694425959708739,0.8707620355955137
104,0.03958538963874748,0.00055744351723926,0.002348505025751409,0.002664275670890871,0.003294403872198463,0.03535317218131519,0.04877581694702989,0.8674209931468275
105,0.040092373522454275,0.0005776085258851586,0.0023317647241104657,0.002667924401443092,0.0033320871522915544,0.03624927763469225,0.050644441370959976,0.8641045226681632
