simDay,asymptomatic,deceased,exposed,infected1,infected2,recovered1,recovered2,susceptible
130,5086092.240074434,223653.66478595324,138411.82082923368,190931.893418821,330418.35492618405,6863368.669769783,11672356.226748407,32839847.911267012
131,4985671.334805643,227277.587190086,131374.26373120784,182389.37892322853,319658.34946760145,6874352.72399601,11968640.91151045,32655716.23219558
132,4883438.7283773655,230775.40541368406,124758.47026129981,174037.37097767586,308874.7077330835,6880264.177537814,12262014.754434064,32480917.167084802
133,4779829.593131974,234146.7242942022,118461.51660966717,165907.55193420997,298105.0725037679,6881346.933530171,12552233.369953612,32315050.019862223
134,4675285.903782967,237391.08902529202,112313.96124312439,158032.90763509614,287385.4461662725,6877850.892713135,12839074.61500933,32157745.966244616
135,4569885.231906497,240512.9410953866,106649.64471222402,150385.11864858415,276748.7160295342,6870040.773733447,13122340.541910343,32008517.813783795
136,4464167.385414418,243510.42289472983,101069.5470112213,143016.11529688016,266225.76003807894,6858162.537826526,13401848.330580067,31867080.682757888
137,4358166.269989715,246388.81019916767,95850.07299668764,135893.24346258288,255843.29080544953,6842486.573278252,13677450.320819063,31733002.200268887
138,4252201.830753901,249148.43049498837,90832.90447446417,129034.84492820104,245625.36960475083,6823253.373672317,13949005.409307115,31605978.618584074
139,4146486.412257817,251792.22002857344,86045.50747790003,122442.15721942752,235592.41885574767,6800697.990095176,14216381.914402768,31485642.1614824
140,4041167.1270275586,254324.16867904487,81577.70454414166,116106.41309433202,225762.61507718093,6775054.524914643,14479466.046854904,31371622.181628
141,3936531.766975912,256744.78140997127,77242.02367486933,110044.41025434123,216153.43531916043,6746545.514374801,14738163.541583704,31263655.308227055
142,3832639.3486923454,259059.85006895752,73214.442135801,104235.36111789997,206777.53235080154,6715394.679175265,14992390.79879251,31161368.76948622
143,3729718.2079321467,261270.35583834074,69316.65604349655,98689.67281996901,197647.8706489654,6681816.507882157,15242091.065495038,31064530.44515969
144,3627832.220265047,263380.7904040473,65639.39413499211,93391.20635010873,188772.9652936395,6646014.656336496,15487212.721155798,30972836.827879682
145,3527111.0775143034,265394.4449837934,62179.68514022389,88335.98335833888,180160.09556058192,6608178.306337,15727708.898350582,30886012.29057498
146,3427721.7052829373,267313.4377009131,58847.81140255275,83527.75838326158,171815.72667710547,6568488.9121277165,15963545.634217873,30803819.79602746
147,3329680.529542816,269143.0314038394,55764.467597468174,78946.10358858027,163743.0984232425,6527124.632199219,16194700.20241966,30725978.716644987
148,3233149.647646199,270884.6080210338,52778.94397295049,74597.90722170677,155945.7040690282,6484254.622320026,16421168.944539139,30652300.404029727
149,3138142.783222249,272543.0021037856,49982.16923756775,70465.0956231997,148424.1336677409,6440039.048070712,16642947.55156983,30582536.99832473
150,3044748.072186573,274120.79071048624,47328.875029953306,66544.02084686958,141178.69800996743,6394627.246126521,16860042.24845689,30516490.830452558
